szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Lanczendorfer Zsuzsanna,""" Mindent apámról..."" : Egy sokoróaljai iparos emlékei",,,1-087594,1207729,,,9.79E+12,2007.10.24,2007,Lanczendorfer Zsuzsanna
"Matthews, John",Arthur király : A sötét kor harcosa és legendás hõse,,,1-088190,1146493,,,9636280177,2007.12.19,2004,Marcal Könyvker. Text Book
"Harpur, James",A keresztes hadjáratok : A kétszáz éves háború,,,1-088234,1146189,,,9636282137,2007.12.19,2005,Marcal Könyvker. Text Book
"Steel, Danielle",Tükörkép,,,1-088284,1146080,,,963203144X,2007.12.19,2006,Marcal Könyvker. Text Book
Frank Zsófia,Az otthoni gyógymódok nagykönyve,,,1-088314,1070286,,,9.79E+12,2007.12.19,2007,Marcal Könyvker. Text Book
"Lessing, Doris",Az ötödik gyerek,,,1-088330,1070194,,,9.79E+12,2007.12.19,2007,Marcal Könyvker. Text Book
"Roberts, Nora",Biztonságos kikötõ,,,1-088369,1147759,,,9.79E+12,2007.12.19,2007,Marcal Könyvker. Text Book
"Steel, Danielle",Utazás,,,1-088380,1147650,,,9632030389,2007.12.19,2001,Marcal Könyvker. Text Book
"Remarque, Erich Maria",A paradicsomban is ott a pokol,,,1-088399,1224368,,,9.79E+12,2007.12.18,2007,Marcal Könyvker. Text Book
Donászy Magda,Táltosmackó,,,1-088469,1224962,,,9.79E+12,2007.12.19,2007,Marcal Könyvker. Text Book
"Coelho, Paulo",A zarándoklat : Egy mágus naplója,,,1-088512,1224641,,,9639261270,2007.12.19,2006,Marcal Könyvker. Text Book
"French, Jackie",Hekja : Egy lány a vikingek fogságában,,,1-090766,1930757,,,9.79E+12,2008.12.19,2007,Kalligraf Könyvesbolt
"Moss, Tara",Fétis,,,1-090895,1932805,,,9.79E+12,2008.12.19,2008,Kalligraf Könyvesbolt
"Rowling, Joanne Kathleen",Bogar bárd meséi,,,1-091012,1933550,,,9.79E+12,2008.12.19,2008,Kalligraf Könyvesbolt
"Lee, Maureen",Búcsú Liverpooltól,,,1-091116,1934953,,,9.79E+12,2008.12.19,2008,Kalligraf Könyvesbolt
Nógrádi Gábor,Marci visszavág,,,1-091220,1935691,,,9.79E+12,2008.12.19,2008,Kalligraf Könyvesbolt
"Weir, Alison",Lady Elizabeth,,,1-091283,1935141,,,9.79E+12,2008.12.19,2008,Kalligraf Könyvesbolt
"Sheldon, Peter",A Michelangelo-kód,,,1-092611,2899206,,,9632196368,2009.12.22,2005,Kalligraf Könyvesbolt
"Sheldon, Peter",A magyar jövõ feketekönyve,,,1-092766,2899190,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
Méhes György,Egyetlenem : Medalionok Erzsébetrõl,,,1-092850,2902753,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
"Schache, Ruediger",A szívmágnes titkai,,,1-092927,2902579,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
"Moore, Ulysses",A titkos város,,,1-092952,2903675,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
"Showalter, Gena",Éjsötét vágyak : Az Alvilág Urai 1.,,,1-093077,2903484,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
"Buettner, Dan",A hosszú élet oázisai : Földünk Kék Zónái : A legidõsebbek tanai a hosszú életrõl,,,1-093228,2903293,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
Nógrádi Gábor,A bölcs gyerek könyve : Életrevaló mondások igaz történetekkel,,,1-093254,2903101,,,9.79E+12,2009.12.22,2010,Kalligraf Könyvesbolt
"Rahn, Sabine",Lovas történetek,,,1-093281,2753416,,,9.79E+12,2009.12.22,É.N.,Kalligraf Könyvesbolt
"Webb, Holly",Az ellopott kiskutya,,,1-093326,2753218,,,9.79E+12,2009.12.22,2009,Kalligraf Könyvesbolt
Erõs Zoltán,Magyar történelmi helynevek A-tól Z-ig,,,1-094340,3298763,,,9.79E+12,2010.09.13,2010,Könyvtárellátó Közhasznú Társaság
"Stilton, Geronimo",A tûzvörös rubin temploma,,,1-094402,3064795,,,9.79E+12,2010.09.13,2010,Könyvtárellátó Közhasznú Társaság
"Ward, J. R.",Halhatatlan szeretõ : Fekete Tõr Testvériség 8.,,,1-094439,3220115,,,9.79E+12,2010.09.17,2010,Könyvtárellátó Közhasznú Társaság
